Date,Dollar,VIX,regime
1992-01-30,87.58000183105469,17.489999771118164,1
1992-01-31,87.48999786376953,17.399999618530273,1
1992-02-03,87.08000183105469,18.200000762939453,1
1992-02-04,86.69999694824219,17.959999084472656,1
1992-02-05,86.25,18.219999313354492,1
1992-02-06,86.0999984741211,18.790000915527344,0
1992-02-07,85.29000091552734,18.510000228881836,1
1992-02-10,86.0999984741211,18.559999465942383,1
1992-02-11,86.93000030517578,17.700000762939453,0
1992-02-12,87.5,17.3700008392334,1
1992-02-13,88.27999877929688,17.450000762939453,-1
1992-02-14,88.31999969482422,17.030000686645508,-1
1992-02-17,88.0999984741211,,-1
1992-02-18,89.05999755859375,18.219999313354492,0
1992-02-19,89.05000305175781,17.15999984741211,-1
1992-02-20,89.08999633789062,16.719999313354492,0
1992-02-21,89.6500015258789,16.8700008392334,0
1992-02-24,89.44000244140625,17.1299991607666,0
1992-02-25,89.75,16.350000381469727,0
1992-02-26,89.19999694824219,16.639999389648438,1
1992-02-27,88.72000122070312,16.510000228881836,1
1992-02-28,88.98999786376953,16.68000030517578,0
1992-03-02,89.19999694824219,16.8799991607666,1
1992-03-03,89.97000122070312,17.260000228881836,1
1992-03-04,90.51000213623047,17.889999389648438,1
1992-03-05,90.69000244140625,18.469999313354492,0
1992-03-06,90.4800033569336,19.75,-1
1992-03-09,90.26000213623047,19.68000030517578,-1
1992-03-10,90.72000122070312,18.68000030517578,-1
1992-03-11,90.3499984741211,19.790000915527344,-1
1992-03-12,90.83000183105469,19.719999313354492,-1
1992-03-13,90.83999633789062,18.350000381469727,-1
1992-03-16,90.51000213623047,18.459999084472656,-1
1992-03-17,89.76000213623047,16.790000915527344,1
1992-03-18,89.98999786376953,16.690000534057617,1
1992-03-19,90.91000366210938,16.520000457763672,-1
1992-03-20,90.94000244140625,16.81999969482422,-1
1992-03-23,90.68000030517578,16.729999542236328,0
1992-03-24,90.54000091552734,16.31999969482422,0
1992-03-25,90.0,16.190000534057617,0
1992-03-26,90.5199966430664,16.290000915527344,-1
1992-03-27,89.5199966430664,16.020000457763672,0
1992-03-30,89.80999755859375,15.970000267028809,0
1992-03-31,89.6500015258789,16.18000030517578,1
1992-04-01,90.22000122070312,16.479999542236328,1
1992-04-02,89.8499984741211,17.059999465942383,0
1992-04-03,89.08000183105469,16.719999313354492,1
1992-04-06,89.0199966430664,16.719999313354492,1
1992-04-07,88.8499984741211,18.809999465942383,-1
1992-04-08,88.9800033569336,20.149999618530273,-1
1992-04-09,88.4800033569336,17.889999389648438,1
1992-04-10,89.25,16.850000381469727,1
1992-04-13,89.9000015258789,16.989999771118164,1
1992-04-14,89.80999755859375,15.979999542236328,0
1992-04-15,90.12000274658203,15.149999618530273,0
1992-04-16,90.51000213623047,14.850000381469727,1
1992-04-17,90.51000213623047,,1
1992-04-20,90.51000213623047,15.930000305175781,1
1992-04-21,90.51000213623047,16.530000686645508,1
1992-04-22,90.20999908447266,15.960000038146973,0
1992-04-23,90.27999877929688,15.829999923706055,1
1992-04-24,89.79000091552734,15.710000038146973,0
1992-04-27,89.77999877929688,16.489999771118164,1
1992-04-28,89.75,16.239999771118164,0
1992-04-29,89.93000030517578,15.949999809265137,1
1992-04-30,89.62000274658203,15.529999732971191,1
1992-05-01,89.12000274658203,16.610000610351562,0
1992-05-04,89.44999694824219,16.920000076293945,0
1992-05-05,89.04000091552734,16.65999984741211,1
1992-05-06,88.66999816894531,16.809999465942383,1
1992-05-07,88.91999816894531,16.540000915527344,1
1992-05-08,89.38999938964844,15.649999618530273,1
1992-05-11,89.1500015258789,15.170000076293945,1
1992-05-12,88.29000091552734,15.680000305175781,1
1992-05-13,87.5999984741211,15.1899995803833,0
1992-05-14,87.94000244140625,15.489999771118164,0
1992-05-15,87.62999725341797,14.819999694824219,-1
1992-05-18,86.91000366210938,14.619999885559082,1
1992-05-19,86.75,13.569999694824219,1
1992-05-20,87.2699966430664,13.619999885559082,1
1992-05-21,87.95999908447266,13.920000076293945,1
1992-05-22,87.9000015258789,13.729999542236328,1
1992-05-25,87.9000015258789,,1
1992-05-26,87.6500015258789,14.920000076293945,1
1992-05-27,88.83000183105469,13.989999771118164,1
1992-05-28,88.2699966430664,13.770000457763672,1
1992-05-29,87.22000122070312,13.859999656677246,1
1992-06-01,87.19999694824219,14.430000305175781,1
1992-06-02,87.33999633789062,14.569999694824219,1
1992-06-03,87.26000213623047,14.350000381469727,1
1992-06-04,87.08000183105469,13.65999984741211,1
1992-06-05,86.58000183105469,14.649999618530273,1
1992-06-08,86.56999969482422,15.1899995803833,0
1992-06-09,86.72000122070312,15.970000267028809,-1
1992-06-10,86.77999877929688,16.6200008392334,0
1992-06-11,86.01000213623047,16.290000915527344,-1
1992-06-12,85.97000122070312,14.949999809265137,1
1992-06-15,85.72000122070312,14.760000228881836,0
1992-06-16,85.44000244140625,15.220000267028809,0
1992-06-17,85.94999694824219,18.079999923706055,-1
1992-06-18,85.61000061035156,18.200000762939453,-1
1992-06-19,85.91000366210938,16.309999465942383,-1
1992-06-22,85.58000183105469,16.65999984741211,-1
1992-06-23,85.56999969482422,14.529999732971191,-1
1992-06-24,84.9000015258789,14.399999618530273,-1
1992-06-25,84.27999877929688,14.399999618530273,-1
1992-06-26,84.12999725341797,14.670000076293945,-1
1992-06-29,83.62000274658203,13.210000038146973,0
1992-06-30,83.72000122070312,13.350000381469727,0
1992-07-01,83.63999938964844,13.34000015258789,0
1992-07-02,83.0999984741211,13.880000114440918,-1
1992-07-03,83.0999984741211,,0
